DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/31/2017,7:35,,,40.54771,-74.182785,"(40.54771, -74.182785)",ARDEN AVENUE,,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,3780626,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,7:39,QUEENS,11368,,,,Roosevelt Ave,shea road,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780360,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,7:40,BROOKLYN,11210,40.62534,-73.955284,"(40.62534, -73.955284)",,,1140      EAST 21 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780344,PICK-UP TRUCK,PASSENGER VEHICLE,,,
10/31/2017,7:40,,,,,,SHORE ROAD,CITY ISLAND ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781558,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,7:40,,,40.89339,-73.857376,"(40.89339, -73.857376)",EAST 233 STREET,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3780677,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/31/2017,7:40,BROOKLYN,11210,40.62534,-73.955284,"(40.62534, -73.955284)",,,1140      EAST 21 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3780344,PICK-UP TRUCK,PASSENGER VEHICLE,,,
10/31/2017,7:45,BROOKLYN,11249,40.708805,-73.96848,"(40.708805, -73.96848)",,,450       KENT AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3780420,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/31/2017,7:45,QUEENS,11418,40.697243,-73.813324,"(40.697243, -73.813324)",94 AVENUE,VANWYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3780440,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
10/31/2017,7:50,BROOKLYN,11203,40.648182,-73.93001,"(40.648182, -73.93001)",UTICA AVENUE,TILDEN AVENUE,,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,Other Vehicular,,,3781323,BU,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
10/31/2017,7:50,,,40.680115,-73.75324,"(40.680115, -73.75324)",SPRINGFIELD BOULEVARD,,,0,0,0,0,0,0,0,0,Pavement Slippery,Unspecified,,,,3780847,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
