,Cell,CompType,Count
717,1221,APPLIANCE,32
718,1222,APPLIANCE,4
719,1224,APPLIANCE,5
720,1225,APPLIANCE,9
721,1226,APPLIANCE,2
722,1227,APPLIANCE,7
723,1228,APPLIANCE,2
724,1229,APPLIANCE,1
725,1313,APPLIANCE,4
726,1314,APPLIANCE,3
727,1315,APPLIANCE,13
728,1316,APPLIANCE,53
729,1317,APPLIANCE,66
730,1318,APPLIANCE,90
731,1319,APPLIANCE,33
732,1320,APPLIANCE,21
733,1321,APPLIANCE,41
734,1322,APPLIANCE,6
735,1323,APPLIANCE,23
736,1324,APPLIANCE,13
737,1325,APPLIANCE,23
738,1326,APPLIANCE,6
739,1327,APPLIANCE,5
740,1328,APPLIANCE,1
741,1414,APPLIANCE,2
742,1415,APPLIANCE,5
743,1416,APPLIANCE,18
744,1417,APPLIANCE,33
745,1418,APPLIANCE,61
746,1419,APPLIANCE,33
747,1420,APPLIANCE,5
748,1421,APPLIANCE,5
749,1422,APPLIANCE,5
750,1423,APPLIANCE,17
751,1424,APPLIANCE,13
752,1425,APPLIANCE,30
753,1426,APPLIANCE,14
754,1427,APPLIANCE,11
755,1428,APPLIANCE,9
756,1429,APPLIANCE,1
757,1513,APPLIANCE,1
758,1514,APPLIANCE,9
759,1515,APPLIANCE,1
760,1516,APPLIANCE,24
761,1517,APPLIANCE,10
762,1518,APPLIANCE,12
763,1519,APPLIANCE,17
764,1520,APPLIANCE,3
765,1523,APPLIANCE,5
766,1524,APPLIANCE,10
767,1525,APPLIANCE,26
768,1526,APPLIANCE,13
769,1527,APPLIANCE,15
770,1528,APPLIANCE,6
771,1613,APPLIANCE,9
772,1614,APPLIANCE,18
773,1615,APPLIANCE,21
774,1616,APPLIANCE,34
775,1617,APPLIANCE,1
776,1619,APPLIANCE,2
777,1621,APPLIANCE,4
778,1622,APPLIANCE,8
779,1624,APPLIANCE,15
780,1625,APPLIANCE,2
781,1627,APPLIANCE,4
782,1628,APPLIANCE,6
783,1629,APPLIANCE,2
784,1713,APPLIANCE,2
785,1714,APPLIANCE,17
786,1715,APPLIANCE,9
787,1716,APPLIANCE,7
788,1718,APPLIANCE,10
789,1719,APPLIANCE,7
790,1720,APPLIANCE,11
791,1721,APPLIANCE,24
792,1722,APPLIANCE,12
793,1723,APPLIANCE,2
794,1724,APPLIANCE,5
795,1726,APPLIANCE,5
796,1727,APPLIANCE,1
797,1813,APPLIANCE,1
798,1814,APPLIANCE,10
799,1815,APPLIANCE,6
800,1816,APPLIANCE,1
801,1817,APPLIANCE,7
802,1818,APPLIANCE,11
803,1819,APPLIANCE,17
804,1820,APPLIANCE,34
805,1821,APPLIANCE,28
806,1822,APPLIANCE,1
807,1823,APPLIANCE,12
808,1824,APPLIANCE,6
809,1825,APPLIANCE,1
810,1826,APPLIANCE,2
811,1827,APPLIANCE,1
812,1914,APPLIANCE,19
813,1915,APPLIANCE,9
814,1916,APPLIANCE,13
815,1917,APPLIANCE,5
816,1918,APPLIANCE,27
817,1919,APPLIANCE,4
818,1920,APPLIANCE,4
819,1921,APPLIANCE,5
820,1923,APPLIANCE,1
821,1924,APPLIANCE,12
822,1925,APPLIANCE,1
823,1926,APPLIANCE,6
824,2015,APPLIANCE,16
825,2016,APPLIANCE,21
826,2017,APPLIANCE,21
827,2018,APPLIANCE,18
828,2019,APPLIANCE,7
829,2022,APPLIANCE,1
830,2024,APPLIANCE,2
831,2026,APPLIANCE,2
832,2115,APPLIANCE,22
833,2116,APPLIANCE,35
834,2117,APPLIANCE,46
835,2215,APPLIANCE,2
836,2216,APPLIANCE,59
837,2217,APPLIANCE,64
838,2218,APPLIANCE,40
839,2219,APPLIANCE,31
840,2220,APPLIANCE,3
841,2221,APPLIANCE,1
842,2222,APPLIANCE,2
843,2223,APPLIANCE,2
844,2316,APPLIANCE,62
845,2317,APPLIANCE,121
846,2318,APPLIANCE,59
847,2319,APPLIANCE,59
848,2320,APPLIANCE,63
849,2321,APPLIANCE,23
850,2322,APPLIANCE,7
851,2323,APPLIANCE,3
852,2324,APPLIANCE,4
853,2416,APPLIANCE,10
854,2417,APPLIANCE,128
855,2418,APPLIANCE,148
856,2419,APPLIANCE,111
857,2420,APPLIANCE,59
858,2421,APPLIANCE,74
859,2422,APPLIANCE,23
860,2423,APPLIANCE,5
861,2517,APPLIANCE,77
862,2518,APPLIANCE,91
863,2519,APPLIANCE,147
864,2520,APPLIANCE,79
865,2521,APPLIANCE,35
866,2522,APPLIANCE,10
867,2523,APPLIANCE,8
868,2617,APPLIANCE,9
869,2618,APPLIANCE,77
870,2619,APPLIANCE,131
871,2620,APPLIANCE,90
872,2621,APPLIANCE,48
873,2622,APPLIANCE,4
874,2623,APPLIANCE,2
875,2718,APPLIANCE,1
876,2719,APPLIANCE,66
877,2720,APPLIANCE,58
878,2721,APPLIANCE,71
879,2722,APPLIANCE,32
880,2723,APPLIANCE,8
881,2819,APPLIANCE,21
882,2820,APPLIANCE,6
883,2821,APPLIANCE,42
884,2822,APPLIANCE,35
885,2823,APPLIANCE,2
886,2919,APPLIANCE,4
887,2921,APPLIANCE,1
888,2922,APPLIANCE,36
889,0,Asbestos,1
890,100,Asbestos,1
891,103,Asbestos,1
892,104,Asbestos,1
893,202,Asbestos,2
894,203,Asbestos,1
895,204,Asbestos,2
896,205,Asbestos,1
897,304,Asbestos,2
898,305,Asbestos,1
899,402,Asbestos,1
900,404,Asbestos,1
901,405,Asbestos,4
902,406,Asbestos,1
903,407,Asbestos,2
904,408,Asbestos,4
905,418,Asbestos,4
906,419,Asbestos,1
907,508,Asbestos,5
908,509,Asbestos,7
909,513,Asbestos,3
910,514,Asbestos,7
911,515,Asbestos,6
912,516,Asbestos,9
913,517,Asbestos,4
914,521,Asbestos,1
915,522,Asbestos,7
916,523,Asbestos,6
917,604,Asbestos,1
918,605,Asbestos,1
919,608,Asbestos,1
920,609,Asbestos,1
921,614,Asbestos,1
922,615,Asbestos,2
923,616,Asbestos,11
924,617,Asbestos,31
925,623,Asbestos,2
926,624,Asbestos,25
927,625,Asbestos,5
928,626,Asbestos,2
929,704,Asbestos,1
930,705,Asbestos,1
931,706,Asbestos,2
932,713,Asbestos,2
933,714,Asbestos,9
934,715,Asbestos,4
935,716,Asbestos,6
936,718,Asbestos,1
937,727,Asbestos,1
938,728,Asbestos,1
939,808,Asbestos,1
940,809,Asbestos,3
941,811,Asbestos,1
942,812,Asbestos,3
943,813,Asbestos,2
944,814,Asbestos,2
945,815,Asbestos,5
946,816,Asbestos,11
947,817,Asbestos,8
948,818,Asbestos,5
949,819,Asbestos,1
950,827,Asbestos,2
951,828,Asbestos,1
952,905,Asbestos,5
953,906,Asbestos,1
954,907,Asbestos,1
955,908,Asbestos,2
956,909,Asbestos,2
957,911,Asbestos,1
958,912,Asbestos,4
959,914,Asbestos,7
960,915,Asbestos,4
961,916,Asbestos,5
962,917,Asbestos,7
963,918,Asbestos,1
964,1008,Asbestos,1
965,1009,Asbestos,2
966,1012,Asbestos,1
967,1013,Asbestos,10
968,1014,Asbestos,2
969,1015,Asbestos,9
970,1016,Asbestos,7
971,1017,Asbestos,4
972,1018,Asbestos,1
973,1019,Asbestos,3
974,1020,Asbestos,5
975,1112,Asbestos,1
976,1114,Asbestos,6
977,1116,Asbestos,10
978,1117,Asbestos,4
979,1118,Asbestos,6
980,1119,Asbestos,1
981,1120,Asbestos,2
982,1122,Asbestos,2
983,1123,Asbestos,2
984,1213,Asbestos,1
985,1214,Asbestos,4
986,1215,Asbestos,15
987,1216,Asbestos,17
